   43    0   53   81   59    0    0    0    0   29    0    0   62   76    0   61    0    0    0   26    0    0    0    0    0   32    0    0   23    0   26   34    0    0    0   36   59   51    0   46    0    0    0    0    0   67   80    0    0   43    0    0    0   34    0    0   63    0    0   66   38    0    0    0   52    0    0    0   47   54    0    0   62    0   53    0   54    0    0    0    0    0    0    0    0   79    0    0   32    0    0    0    0   61   37   84   64    0   26    0   47    0    0    0   54    7   82    0   64   76   41   53    0    0   86    0   29   29    0    0    0   80   80    0   31    0    0   60   24    0    0   79    0   24   70   22   73   57   49   52    0   61   85   37    0    0    0    0    0   71    0   83   20    0    0   57   41    0   35    7   35    0   82    9    0   50    0    0   42   73    0   70   49   35    0   50    6   58    0   51   63    0   42   39   66   45    0    0    0   52   15    0   54   32   20    0   83    0    0    0   70    0   55   82   63   76    0   36   51   41    0   28    0   39   84    0   57   24    0   70    0   92    0    0    0    0    0   53    0    0   73   31   30    0    5    0    0    0   73   35    0    0   64   62   58    0    0    0   40   33    0   75    0   47    0   32   66   47   80   49    0   31   54    0    0   59   62    0   54   39   40    0   39    0    0   47   59   66    0    0   50   78    0    0   29   55   61   10    0   47   69   26   73   33    0   79    0   41   54   47   59   45    0    0    0    0   23   77    0    0   69   77   63  104   33    0    0    0    0    0    0   36    0   71    0   13   49    0    0    0   47   80   37   27    0    0    0   11    0    0   79    0   78    0   59    0   46   60   38    0    0   46   35    0   54   39   21    0   51    0    0   49   61   14   52   59   39    0    0   76    0    0    0   50    8   83    0   62    0    0   55   67   55    0   35   83   63   65    0    6    0   56   38    0   81    0    0   45    0    0    0   55   38   60   44    0   44    0    0    0   79   42   45    0   43    0    0    0    0   61    6   43    0    1    0    0   44    0    0    0   56    0    0    0    0   60    0   39    0   74   63    0    0    0    0   64    0    0    0   37   31    0   24   63   71   41   59    0    0    0    0   49    0    0    0    0   40    0   53    0    0   20    0    0   31    0    0    0   16    0    0   31   49   64   58   57    0    0    0    0   33    0   36   54    0    0    0   65    0    0
    0   50    0    0    0   40   46    0    0   20    0    0   23   62    0   73   82    0   61    0    0    0    0    0   66    0   40   55   26   26    0    0   65   53   74   50    0    0    0    0   13    0   45    0   91    0    0   75    1    0   30    0   52   37   39    0   57    0    0    0    0    0   29   53   56   16    0   30   73   15   74    0   71    0   66    0   30   56   66   68   65   47   47    0   57    0    0   80   26   29   27    0   44   43    0   72    0    0   39    0    0   67   49   37    0   91    0    0    0    0    0    0    0   28   43    0   50    0   35    0    0    0    0    0    0   11    0   56   53   46   53   50   18    0    3   43    0    0   59    0   28   40    0   69   46   75   70    0    0    0    0   36    0    0    0    0   24    0    0   79   59    0   60    0   51   92    0    0   31   62    0    0   27    0   60    0    0   47   42   61    0    0   22    0   53    0    0    0   53    0    0    0   62    0    0   62    0   22    0    0   41    0    0    0   42    0   73   23    0   79    0   61    0    0   31   18    0   25    0   39   56   47   38   50    0   30    0   42    0    0    0   91   71    0   74   39    0   93   53    0    1    0   43    0    0   59   62   21   23   48    0   70   87    0    0   70   65   29   33    0   32    0   30    0   64    0    0    0   39    0   63   65    0    0    0   41   62    0    6   57   57    0    0    0   15    0    0    0   44    0   83   50   54    0    0    0    0   49   28   17    0    0   23   79   49    0   33    0    0    0   64   41    0    0    0   62   44    0   62    0    0    0   38   25   59    0    0    0   72   73    0   48    0   43   55   16   53   57    0   48    0   59   57    0   58    0   29    0    0   40   40    0    0   52   61    0    0   42   74   92    0    0    0    0    0   34    0    0    0   73    0   27    0    0   44   77   40    0    0   58    0   48   51    0   40   28   68    0   45   41    0   31    0   43    0   27    0    0    0   52   55   59    0   85    0   60   77   48   59   58   55   69   37   15    0   45    0   50   50   77   80   58   40   33    0    0   28    0   31    0   52    0   56   92    0   34   76    0    0   95    0    0    0   62   45   56   68    0    0    0   71   65    0   40    0    0    0   52   47   28    0    0   66    0    0   46    0    0   47    0   45    0    0    0    0   36   56   81   26    0   64   49    0   74   62    0   54    0    0    0   63   77    0   51    0    0   25    0   47    0
    0    0    0  103   17    0    0    0    0    0   57    4   29    0    0   37    0   96   30    0   71   38   38   59   80    0   73   79   38    0   31    0    0    0    0   63    9    0    0   62    0   53   33    0   52   49   29    0    0   37   27   43   65    0   29    0   77    0    0   56   84    0   30    0    0   12    0    0    0   23   41   57    0    0   37   45   41   72    0    0    0    0    0    0    0   42   73    0   41    0    0   30    0    0   35   49   66   62   65   61    0   43   62    0   51    0   58   53    0    0    0   64   28    0   68   40   43   63    0   60    0   72   28   44   17    0    0    0   66   85   46    0    0   71   50   22    0    0   41    0    0   28   66   52    0    0   80    0   47   36    0    0    0   45    0   61   28    0    0    0    0   61    0   69    0    0    0   83   47    0    0   36   42   30   69    0   49    0   74   87   35   58   46    0    0    0   39   11    0    0    0   72   49   51    0    0   17    0   44   26    0    0   39    0   61    0   52   80    0    0   59   48    0   54   61   68   47    0    0    0    0   40   30    0    0   57   59   14   29    0   39    0    0    0    0   47    0   51    0    0   37   47    0    0   85    0    0    0    0   24    0    2   57   58    0    0   76   46    0   61    0   57    0    8    0    0   28    0    0    0    0    0   32    0    0   15    0    0    0    0    0   30    0    0    0    0    0    0   47   48   72   48   56    0    0    0    0    0    0    0    0    0   52   38    0   47   37    0   63    0    0    0    1    0   52   46   56    0    0    0    0    0   51   46    0   13    0    0    0    0   58    0   32    0    0    0    0    0   37   43   52   46    0    0   53   72   56   58    0    0   35    0    0   64   76    0   51   52    0    0    0    0   39   40   97    0   49    0   44    0    0    0   49   49    0    0   54    1   87   79   46    0    0   76    0   29   49   65   19   48   70   22    0   42   19   51   69    0    9    0   45    0    0    0   20    0    0    0    0   48    0    0    0   50   37   40   21    0   34    0   99    0   28   55   70    0    0   19   85   19    0   40   19    0    0    0   56    0   74    0    0   34   31    0   61   51   52    0    0   74   73   50   66   35   63    0   98    0   29   24   92    0    0   95   70   52    0   82    0   24   44   85   61    0    0   55   34   43   59   44    0   48   54   29    0   54    0   52    0   41   40    0    0    0   65    0   47   70    0   45
    0   69    0   58   26   44    0    0   25   60   42    0   50    0   38    0   26   45    0    0   82   47   63    0    0    0   38    0    0   58   39    0    0    0   67    0   76    0   57    0    0   45    0   60   53    0   27    0    0   49    0   77   76   47   53    0    0   45    0    0   37   64   48   77   44  103    0   46   74   56   49   50   66    0    0    0   50   60   49    0   40    0    0    0    0   39    0    0   69    0    0    0   27   58    0   35   48    0   15   27    0   43   36    0    0   43   48   51    0   27   48   64   83   76    0    0   52   81   26   35    0   75    0   66    0    0   60   83    0   37   60    0    0   46    0   76    0   52   65   49   54   73   69   48   66   59    0    0   50    0    0    0    0    0   49    0    0   21   41    0    0    0    0    0    0    0    0   52    0   78   22    0   26   50   50    0    0   34   13   14    0   60    0   53   34    0   24    0   54   25   52   15   31    9   63   33    0    0    0   39   55    0   79    0   39   35   84   74   43   57   62   49    0   19   81   82    0    0    0    0    0   23   59   43    0   61    0   61    0   15    0   84    0    0    0   46    0    0    0    0    0    0   71    0   49    9    0   57    0   59    0    0    0    0    1    0   86   74   17    0    0   61   66   59    0    0    0   27   58    0   60    0   59   47   50    0   19   31    0    0    0    0   40   44   45    0    0    0   43   73   43   28    0   36  122   44    0   40   46   53   92   63   41   45    0   42    0    0    0    0    0   48   57    0   49    0    0   39    0   63    0   50    0   63   75    0   54    0   36   50    0    0   93    0   54    0    0    0   59   40   54   59    0    0    0   58   62   73   37    0    0   88    0    5   74    0   42    0    0   62    0    0   82    0    0   35   44   83    0    0    0   35    0   51  107   40   87    0    0    0   29    0   55    0    0    0   53    1    0   61    0   24    0    0    0   36   39   62    0   82   56    0   58    0    0    0   38   45   27    0   66    0    0   56    0    0    0    0    0   51   44   51    0   15    0    0    0   28   67   75    0    0    0   34   79   75    0    0   49    0    0    0    0   23    0    0   29   69   51   64   93   76   57    0    0   25    0    0    0   44   28    1   77   71    0    0    0   79    0    0    0    0    0    0    0   52   72   36    0   64    0    0    0   73   39    0    0   17   47   65   55   46   29    0    0    0   76   12    0  105
    0    0   35    0    0   74    0    0   19    0   62   49    0   56   53    0   89    0    0   54    0    0    0   65    0    0   55    0    0   70   50    0    0   71   51    0   37   30   65    0    0    0   97   64   14   32   82    0   90    0    0    0   68   28   91   37   58   44   54   28    6    0    0   64    0   31    0    0    0   53    0    0    0    0   33    0   25   40   59   44    0    0   42   57    0   65    0   59   28   23    0    2   64    0    0   59    0    0   11    0    1    0   61    0    0    0    0    0    0   22   28    0    0   22    0   39    0    0    0    0   62   54   25    0    0   28   50   25   31   69    0    0   52   48   38    0   45   70    0   89    0    0    0    0    0   50    0    0   58   36   43    0   63    0   45    0   30   56   55    0   24    0    0    0   74   57    0    0    0   70    0    0   47   70   35    0    0   49   41    0   60    0   57    0   26   66   15   57    0    0   29    0   53    0   58    0   48   54    0    0    0    0   59    0   70    0   61   56   23   10    0    0    0   43   37    0    0   78   50   37   85    0   50    0   34    0    0    0    0    0   45   52   51    0    0   64   33    0   52   59    0    0   84   37   84   20   61    0   46   30    0   38   44   25   13    0   53    0    0    0    0    0    0   26   43    0    0   66   32    0   57   52   48    0   75    0   26    0   74   47   62   63    0   28    0    0    0    0   50    0   41   82   26    0   44    0    0    0    0    0   62   71   63    1    0   57    0   77   45   57   72    0    0    0   66   50   56   84   59    0    0   75   61    8    0   20   48    0    0    0   39   75   47    0    0    0   40    0    0    0    0    0   34   78   54    0   44   45    1   35    0   38   27    0   86   56   56   33    0   83    0    0    0   93    0    0   52   62   47   53   38   40   49   28    0    0    0   32   58   19    0    0   30   68   36   35    0    0    0    0    0  111    0    0   15   20   17    0    0   40    0   25    0    0   66    0    0   31    0    0   40   64   88    0    0    0   30    0    0   65    0    0   15   70    0   43   64   84   65    0   21    0   58    0   42    0    0   38    0   47    0   23    0    0    0   89    0   40    0   83   60   70   43    0   44   10    0    0    0    0    0    0   43    0    0   53   25   29   46   78    0    0    0   74    0    0    0   51   47    0   65   56   23    0    0    0    0   36   64    0    0   17   34    0   50    0    0    0    0    0
    0    0   46    0   27    0   67    0   39    0   48   88    0   60   54    0    0   50    0    0   49   65    0    0    2   84    0   60    0    0    0   51    0   40    0    0    0    0    0    0   34   57   39   60   54    0   42    0   62    0   81    0   55    0    0   40   37    0   41    0   47    0    0   44    0   25   65    0   63   56   71   46   41    0    0    0    0    0   71    0   45    0   13   45   54    0    0   49   69    0    0    0    0   22    0   59    0   33    0   54    0    0    0   44   82    0   16    0    1   48    0   72   58    0    0   28   84    0   39   59    0    0   42   53    0    0   51    0    0    0   75    0    0   10    0    0   55   36   47   72   59    0    0    0    0   76    0    0   57   64    0   69   30   20   56   46    0    0   10    0    0    0    0    0   41    0    0   34   59    0    0    0   91    0   93    0   54    0    0   28   47    0    0   74   32    0    0    0    0   67    0    0    0   70    0    0   47   51   51   21    0   46   55   75    0    0    0   65   36    0   61   70   70    0   68    0    0   35    0    0    0   40    0    0   50   43   94   38    0    0    0    0    0   65    0    0    0    0   51   50   20   45   68    0   69   47    0    0    0    0   56   59   66    0    0    0   64    0   41   44    0    0    0    0    0    0   24   39   72    0   63   38    0    0    0   39    0    0   70   42   48   24   13    0   56   19   45   22    0    0    0   39    0    0    0    0   38   60    0    0   32   67   29   24    0   54   67    0    0   25   50    0   81    0   60   60    0   58    0   43    0    0    0   36    0    0   44    0   60   40    0    0   53   41    0   63    0    0   70   33    0   45    0   43   38    0   44   52   32   69   53   41   33    0    0   80   79   71   71    0    0   78    0    0    0   38    0    0   27    0   28    0    0   51    0   59    0   75    0   76    0    0   64   75    0    0    0    0    0    0   99    0   42    0   51   33   35   41   60    0   55   52   69    0    0    0    0   40   50   73   90   96   32    0   59    0    0    0    0   48   58   51    0    0   48    0    0    0   56    0    0    0    0   73   59    0    0   53    0   75    0    0   64   72   61    0   57   78   55    0   65    0   84   76   53   38    0   57    0    0   29   50   73   71   46    0   55   45    0   71   63   51   81    0   58    0    0    0   43    0    0   57    0    0   77    0    0    0    0   47   59   59    0    0    0    0    0   97    0    0
   44   46    0    0    0   68    0   47    0    0    0   76    0    0    0   29   35   73    0    1    0    0   49   20    0    0    0   68   40   53   93   44    0   35    0   36   45   38   27   33   33   37    0    0   19   53   72   42    0    0   42   78   60    0    0    0   83    9   66    0   37   34   57    0   66    0   74    0   35    0   36   48   45    0    0    0   66   42   69    0    0    0   38   74   65    0   60    0   36    0    0    0   66   29    0   71   95    0    0    0    0    0    0   41    4   61   62   63    0    0    0   21    0    0   61    0    0    0    0   41    0   66   65   39    0   51   35   62    0    0    0   40    0   47   43   52   50    0    0   90   80    0    0    0   46   37    0   41   59   81   25    0    0   45   69   35   33    0    0   45   57    0   65    0   48    0   31    2   48    0   41   77   60   47   29    0   81   24   86   26    0    0   27   18   71    0    0    0   47    0   72    0    0    0   57    0   52    0   17   68    0   26    0   14   57    0   44    0    0    0    0    0    0   56   62    0   70    0   50    0   56   66    0    0    0    0   46   26   35    0   64    0    0   60    0    0    0   30   49   56    0    0   73   89   78   43   18    0   33   58   58    0   74    0   39    0   46    0   63    0   53    0    0   34   11   86    0    0   44   50   76    0   33    0    0   77    0    0    0   34    0   65    0   52    0    0   36    0   47   39    0   91    0   30   50   35    0   94    0   69  106   33    0   31   56   28   35   47   63   77   31    0   74    0   24    0   23    0    0   38   60   60   91    0    0    0   44    0   42    0   30    0   12    0   26   36    0    0    0    0    0    0   63    0   71    0    0   49   59    0    0    0    0    0   48    0    0    0   56    0    0   41    0    0    0    0    0    0   27    0    0    0   77   72   18    0   43   47   76    0    0   47    0    0    0    0   35   38    0   56    0    0   58   49    0   44   77    0   55   54    1   57   57   50    1   14    0    0    0    0   33    0    0    0   71   13    0    0    0   50    0    0    0    0   36    0    0    0    0    0    0   58   51   12    0    0    0    0    0    0   16   47    0    0    0    0   36    0   47    0    0    0    0    0    0    0    0    0    0   42    0    0    0    0   73    0    0   61   66    0    0    0   47    0    0   54    0   49    0   62   80    0   43    0    0   15    0   38    0    0   57    0   41    0   23    0    0   38    0    0
   44    0    0    0   32   95    0    0   32   37    0   70    0   56    0    0   89    0   54   37   70    0   79    0    0   64    0   41   45   69    0    6   32   54    0   53    0   32    0    0   65    0    0   56   42    0    0    0   48   23   51   41   42   18   55    0   24    0    0   59   28    0    0   40    0    0    0    0    0    0   73   65    0    0    0    0   47   51    0   43   44   43    0   67    0    0    0    0    0    0   22    0    0    0   28    0    0    0    0    0    0    0   46   71   58    0    0    0   75    0    0   18   45    0    0    0   26    0    0   54   72   48   77    0   74    0   50   33   50    0    0    0    0   53    0    0    0    0    0    0    0    0   48   40    0    0    0    0    0   84   60   85    0    0   54    0    0   49    0   27   48    0    0   45    0    0   92    0    0    0   44    0   52    0    0    0   52   61    0   30    0    0   43    0    0   61   84    0   57   58    0   78   18   88    0   53    0   48   62    0   53    0    0   63   28    0   58   55    0    0    0    7    0    0    0   44   46    0   42   37    0    0   61    0   71   59    0   62   53   66   54   24   60    0   45    0    0   78   34   52    0    0    0    0    0   27   44    0   51    0   28    0    0    0    0   29    0    0    9   63    0   70    0   84   74    0   61   25    0    0    0    0    0    0    0   60    0   26    0   45    0   33   49    0    0   56   35    0    0    0    0    0    0    0   50    0    0    0   50    0    0    0   57    0   40   36    1   45    0    0   34   78   46    0   40   39    0    0    0   97    0    0    0    0    0    0    1    0    0   57    0   64   60    0    0   56   74   41    0    0   32   76   54    0   37   15   33   31   12    0    0    0   56   82    0   53    0   76   33   54    0    0   46   22   39    0   35   38    0    0    0   41   49    0    0    0   63   50    0    0    0    0    0    0    0   25   71   31    0    0    0   60   15    0    0   49   21    0    0    0   42   42   29   53   49    0    0   63    0   90   30    0    0    0   56    0    0    0    0   41    0    0   84    0    0   39   52   40   34   53    0   40    0   65    0   36   72   41    0    0    0    0   42   82    0    0   54   53   24   53   58   61    0   54   75    0    0    0   26    0    0   52   72   57   66    0   66    0   61    0    0  102   65   46   56   27    0   52    0    0   45    0    0    0    0   43    0   70   49    0    0    0   87    0    0   66    0    0   59   57
    0   32    0    0   32   68    0    0   33   82   27    0   37    0   65    0    0    0   26   55    0  104    0    0    0    0    0   33    0   72   74   39   54   60   20    0    0    0   71   35   82    0    0    0   57   62    0   35    0    0  112   72    0   44   43    0   65   48   27  100   85   20   51   52    0   35   55    0   40   28   73    0    0   55    0    0    0    0   68   39   62   82    0   20    0    0    0    8    0   44   31    0    0    0   51    0   57   15    0    0    0    0   45   86   47    0    0    0   35   73   30    0    0    8   19    0   87   60   28   75   82    0    0    0   43   37    0    0    0   51   48    0    0    0    0    0    0    0    0    0    0   43   96    0   48   47   52   40    0   74   66    0   64    0    0   16   40   39    0   84   60   56    0   58   79   46    0   78   62   17    0    0   86    0    0   46   44   25    0   66   57    0    0    0    0    0   43    0   57    4   68    0    0   48   36   33    0   54   52    0   27    0    0   59    0    0    0    0    0    0    0   64    0    0    0   13   30    0    0   88   60   74    0    0   27   70   46    0    0    0    0   24    0    0    0   84    0    0    0    0    5    0    0    0    0   57   72    0   38   38    0   54   54    0    0   61   46    0    0   49   56    0   54   32   57    0    0   55    0   42    0   36   58   39   69   56    0    0   70    0    0    0   45    0    0   16   47    0    0    0    0    0    0   45   73    0    0    0    0   37   46    0    0    0   66   44   34   32   24    0    0   73    0   29   15    0    0   68   28    0    0    0   63    0   53    0   59    0  108   63    0    0    0   58   37   73   55   76   42   78   56   69    0    0   40   63   73    0   17    0   31    0   45    0   57   51   27    0    0    0    0   16    0    0   43    0    0   65    0    0   69    0    0    0   22   38   16   32    0    0    0    0   35   31    0   52    0   25   56   81    0    0    0    0    0   17    0    0   47   34   31    0    0    0   38   46    0    0    0    0   21    0   52    5   43   48    0    0    0    0   39   60   70    0    0    0    0    0   59   33   67   62    0    0    0    0   57   36   60    0    0   62   45    0    0    0    0    0   18   48    0   10   37   77    0   37   52    0    0   58   75    0   42    0    0   47   56   57    0    0   65    0    0    0    0   56   75    0    0   33   75   33   56   32    0   59    0   68    0    0    0    0    0    0    0    0   61   58    0   57
    0    0    0   63   18   25   91    0    0    0    0   33    0    0   45   44   82   29    0    0    0    0   83    0    0   59    0    0   58    0   41    0    0    0   60    0    0   26    0    0   33    0   60   29   38   32   59   82    0   26   25    0    0   49    0    0   41    0   74    0   28    0   69    0    0    0    0    0    0    0   14   50   55   59    0    0   35    0    0   25    0    0   74   27   67   69   55   31    0    0   34   37    0   13    0   34    0   65   34   39   14   71   34    0    0   84    0   26   24   58    0    0    0   64    0    0   54    1   47   44    0    0   59   60    0    0    0    0    0    0   70    0   77    0    0   62  104   67    0    0    0   71    0   38    0    0    0   57    0   39    0   71   25    0   52   28    0   32   52    0   57   69   89   86    0    0   72   82    0   80   44    0    0   60    0    0    0   43   15    0   38   46    0    0   59    0   52    0    0    0   44   82   59   31   72    0    0   91    1   52   30   62    0   56   59   58   48   52    0    0   45   23    0   41    0   64   68    0    0   14   15   75   34   50    0   71   56   72   27   47    0    0    0   32    0    0   18   38    0   66   83   69   82   56   37    0    0   34   21   70    0    0   63   62   28    0    0    0    0   40    0   56    0   79   65    0    0    0    0    0   22    0    0    0   46   41    0   50    0   30    0    0    0   25   24   27   31   47   67   74   45   66    0   13   75   42    0    0    0   34    0    0   15    0   74   53   39    0   54   43   73    0   36   46   58    0    0   55   25    0    0    0    0   52    0   42   57   58   53    0   68    0    0   50   87    0    0    0    0    0    0    0   43    0    0    0   75   42    0    0    0    0    0   60    0   40   57   74    0   35    0    0    0   60   36    0    0   31   60    0   76   18   72   45   79    0    8    0    0    0   51   21   38   68   98    0   62    0    0    0    0    0    0   44    0    0    0   65   39   30   47    0   40   59    0   84    0    0    0   79    0    0    7   58   75    0   49   63   68    0   45    1    0   20   33   24   51   89   22    0   40    0   60    0    0   68   28    0    0   90    0   46   33   67    0   16   57   51    0    0    0   45    1    0   79    0   49   59   57    0    0   45    0   89   41    0    0   47    0   20   35   26   56   63   36    0   88    0   68    0    0    0    0    0   81   44    0    0   30    0   33   10   69   59   36   62    0    0   48   65
   36    0    0    0    0    0    0   68   68   45   59    0   42   65   73   24    0    0   37    0    0   19   31    0    0    0    0    0   36    0    0   38   42    0    0    0    0    0   65    0   43    0   45    0    0    0   55   41   54   54   48    0   65    0   47   53   64   60   50   55    0    0    0   57    0   67   34    0   51    0    0    0   72   33   63    0   17   79   60   72   21    0    0   19    0   51   46   79    0   89    0    0   42    0    0    0   56   66   18    0    0    0   45    0   68   74    0    0    0   66   59   37   40   35    0    0   42   41    0    0   73    0    0   12   19   47    0    0   90   51   52   58    0    0   66   60    0    0    0    0    0   65    0    0   58   38    0   55    0   77    0    0    0    0   32   53    0    0    0    0    0    0    0    0    0   40    0    0    0   17   57   38   61    0   54    0    0   34    0    0    0    0   58   70   86    0    0    0   35    0   45   48    0    1   57    0    0   82   74   57   43   27    0   24    0    0   53    0   52   18    0    0    0   87   64   18   64    0    0   46    0    0   60    0   27    0   48    0    0   16    0    0    0    0    0    0   69   42   41   51    0   54    0   54   43    0   93   71    0   51    0   61   88    0    0    0   33    0    0   86    0   36    0    0   51    0    0   40   78   13   53   77    0    0    0    0    0    0    0    0    0    0    0   39    0    0    0    0   48   43    0   45    0   70   37   31    0   55   35    0    0    0    0    0   71   64    0    0    0   41   52   66   55    0    0    0   69    0    0   57    0   20    0   56   18    1    0    0    0   53    0    0    0    0   45   76   76   36    0    0   35   40    0    0    0   87    0   17    0   64    0    0   75   41    0   62   53    0   31    0    0    9    0   48   31    0   71   70   46   55   88    0   61    0   40    0    0    0    0   47    0    0    0    0   33   74   69    0    0   46    0    0    1   78   37   41    0   72   40    0   26   19   60    0   42    0   26   74   45   59   13   49   55   34   41   54   49   33   85   45   50    0    0    0   46   37    0    0    0    0   52    0    0   48   68    0    0    0   38    0    0    0    0   15   50    0   38   40    0  104   51    0    0   51    0    0   24    0    0    0    0    0    0    0    0   29   44   34    0   68   37   89    0   34   75   41    0    0   31    0   11   66    0   48   39   21   71   55    0   42   68   44    0   56   94   51    0   83   56   31
    0   39   49    0    0    0    0   47    0   51   29    0    0    0    0    0    0    0   47   34    0   62   61   37    0    0    0    0   56    0    0    0   27   16    0   44   62   71   23    0   59   56    0    0    0   27   36    0   77   38    0   31    0    0    0   48    0    0   42    0   98    0   23   40   63    0    0    0   39    0   94    0   31   58   82   52   49    0    0    0   68   34   27    0    0    0    0    0    0   57    0    0    0    0    0    0    0    0   58   33    0   54    0    0    0   29   26   31    0   49   63   33   35    1   51    0    0    0   54    0    0   42   23    0   39   64    0   32   39    0   52    0   13   45    0    0   26    0   32    0   76    0   31    0   91   69    0    0    0   28   67    0    0   54    0   56    0   78    0    0    0    0   36   51    0   41   36    0    0   87    0    0    0    0    0    0   40   39    0   26    0    0    0    0   43   65    0   69   69   16   29   47   37    0    0   63   44   26   67   83   49   86   32   48   54   72    0   76   55   41   32    0    0   75    0    0   22    0   51   53   70    0   40    0    0    0   67    0    0  100    0   38    0    0    0    0    0    0   38    0   54    0   55   54    0    0    0   46    0   22   41   73    0    0    0   47   85   32    0   51   36    0   40   44    0    0    0    0   76   36    0    0    0   69   50   60    0   88   59   86    0    0   29   61   91   80    0    0    0   26    0    0    0    0   31    0    0    0    0   19   56    0    0    0   28   42    0   33   55    0    0    0    0    0    0   86   25    0   58    0    0   59   80   50   66    0    0   44    0    0   57    0    0   57   17    0    0    0    0    0   36    0   46   55    0    0    0   22    0    0   67   33    0   74    0    0    0   73    0   53   48   47    0   74    0    0    0   64   97    0   34    0   36    0   36   37    0    0   17    0    0    0    0   97    0   23    0    0    0   43   50    0   70   57   66    0   40    0    0   54    0   17    0    0   34    0   32    0    0   58   35    0    0    0   48    0   32    0   41   60   66    0   45   49    0   46    0   41    0    0    0    0   71   19   62   73    0   33   59    0   45    0    0    0   55   45   62    0   75   53   40   55    0    0   53    0   22   39    0   48   35    0   73   82    0   66   51   45   17    0    0    0   71   32   63   49   68    0   51   30    0   61    0    0    0    0   32   93   30   20  110    0   56    0    0   35   52    0    0   31
    0    0   65    0   84   82    0   52   61    0    0    0    0    0   35    0   42    0    0   77    0    0   40   54    0    0    0    0    0   76    0    0    0    0    0    0   36   42   74    7   44   40   15    0    0    0    0    0    0    0    0   19   15    0   51    0   27    0    0    0   46    0    0   47   92    0   17    0    1    0   50   47   71   60    0   32    0    0   17   10    0    6   22    0    0    0    0    0    0   34   34   49    0    0   16    0    0    0   35    0   46   66   50   51    0    0    0   53    0    0   44    0    0    0    0   27   81   34    0   35    0   36   75    0    0    0    0   19   76   46   72   62   46   51   79   42   29   40    0    0   45   63    0   56   52   57    0   56   44   62   54    0    0    0    0    0   43   61   13    0   26    0    0    0   22   65   66    2   49    0   64    0   65   64   52   67   66    0    0    0   90   31    0    0   50    0   29   75   51    1    0    0   41   66   47   77    0   70    0   61   26   71    0    0    0    0    0    0   35    0    0   40   84   63   83   33    0    0    0    0    0   44    0    0   49    0    0    0   87    0    0    0    0   51    0    0   72    0    0    0   57   68   49    0    0    0    0   47    0    0    0    0   72    0    0   19   75    0    0    0   28   89    0   13    0    0    0    0    0   44    0   41    0    0   37   51   59    0    0   37   46    0   27   26    0    0   93    0   67   36   59    0    0    0   83    0    0    0   63    0    0    0   50   32    0   50   24    9   36   97   49   15   40   71    0   63   66    0    0    0   67    0   79    0    0    0   79   51   38    0   52   93    0    0   31    0   57    0    0    0    0   24   46    0   63   25    0    0   70    0   26    0    0   76   40   72   88   46    0    0    0    0    0   48   66    0   52   61   50   58    0   57    0    0    0    0   51    0    0   23    0   51    0    0   58    0    0    0    0    1   93    0    0   55   58    0   44    0   58   13    0    0    0    0   59    0    0   43   83    0   33   42    0   30   53    0    0   51   39   50   48   31    0    0   36   42    0    0   49   52    0    0   35    0    0   47   46    0    0   53    0    0    0    0    0    0    0    0    0    0   71   20    0    0    0   49    0    0   70    0    0   62   29   20   72   43    0   31   73   38   41    0   32    0    0    0   68    0   44    0    0    0   73    0    0   26   47   57    0    0    0   42   62    0    0    0   48    0   37    0
